millisec, event-type, event-code, event-value
48467, 1, 32, 2
48467, 0, 0, 1
48507, 1, 32, 2
48507, 0, 0, 1
48547, 1, 32, 2
48547, 0, 0, 1
48587, 1, 32, 2
48587, 0, 0, 1
48627, 1, 32, 2
48627, 0, 0, 1
48667, 1, 32, 2
48667, 0, 0, 1
48707, 1, 32, 2
48707, 0, 0, 1
48747, 1, 32, 2
48747, 0, 0, 1
48787, 1, 32, 2
48787, 0, 0, 1
48827, 1, 32, 2
48827, 0, 0, 1
48867, 1, 32, 2
48867, 0, 0, 1
48907, 1, 32, 2
48907, 0, 0, 1
48947, 1, 32, 2
48947, 0, 0, 1
48987, 1, 32, 2
48987, 0, 0, 1
49027, 1, 32, 2
49027, 0, 0, 1
49067, 1, 32, 2
49067, 0, 0, 1
49107, 1, 32, 2
49107, 0, 0, 1
49147, 1, 32, 2
49147, 0, 0, 1
49187, 1, 32, 2
49187, 0, 0, 1
49227, 1, 32, 2
49227, 0, 0, 1
49256, 4, 4, 458778
49256, 1, 17, 0
49256, 0, 0, 0
49296, 4, 4, 458759
49296, 1, 32, 0
49296, 0, 0, 0
49471, 4, 4, 458774
49471, 1, 31, 1
49471, 0, 0, 0
49723, 1, 31, 2
49723, 0, 0, 1
49763, 1, 31, 2
49763, 0, 0, 1
49803, 1, 31, 2
49803, 0, 0, 1
49843, 1, 31, 2
49843, 0, 0, 1
49883, 1, 31, 2
49883, 0, 0, 1
49923, 1, 31, 2
49923, 0, 0, 1
49963, 1, 31, 2
49963, 0, 0, 1
50003, 1, 31, 2
50003, 0, 0, 1
50043, 1, 31, 2
50043, 0, 0, 1
50083, 1, 31, 2
50083, 0, 0, 1
50123, 1, 31, 2
50123, 0, 0, 1
50163, 1, 31, 2
50163, 0, 0, 1
50203, 1, 31, 2
50203, 0, 0, 1
50243, 1, 31, 2
50243, 0, 0, 1
50283, 1, 31, 2
50283, 0, 0, 1
50323, 1, 31, 2
50323, 0, 0, 1
50363, 1, 31, 2
50363, 0, 0, 1
50403, 1, 31, 2
50403, 0, 0, 1
50443, 1, 31, 2
50443, 0, 0, 1
50464, 4, 4, 458774
50464, 1, 31, 0
50464, 0, 0, 0
50599, 4, 4, 458778
50599, 1, 17, 1
50599, 0, 0, 0
50851, 1, 17, 2
50851, 0, 0, 1
50860, 4, 4, 458759
50860, 1, 32, 1
50860, 0, 0, 0
51115, 1, 32, 2
51115, 0, 0, 1
51155, 1, 32, 2
51155, 0, 0, 1
51195, 1, 32, 2
51195, 0, 0, 1
51235, 1, 32, 2
51235, 0, 0, 1
51241, 4, 4, 458778
51241, 1, 17, 0
51241, 0, 0, 0
51677, 4, 4, 458778
51677, 1, 17, 1
51677, 0, 0, 0
51931, 1, 17, 2
51931, 0, 0, 1
51971, 1, 17, 2
51971, 0, 0, 1
52011, 1, 17, 2
52011, 0, 0, 1
52051, 1, 17, 2
52051, 0, 0, 1
52091, 1, 17, 2
52091, 0, 0, 1
52131, 1, 17, 2
52131, 0, 0, 1
52143, 4, 4, 458778
52143, 1, 17, 0
52143, 0, 0, 0
52283, 4, 4, 458756
52283, 1, 30, 1
52283, 0, 0, 0
52288, 4, 4, 458759
52288, 1, 32, 0
52288, 0, 0, 0
53281, 4, 4, 458759
53281, 1, 32, 1
53281, 0, 0, 0
53306, 4, 4, 458756
53306, 1, 30, 0
53306, 0, 0, 0
54579, 4, 4, 458774
54579, 1, 31, 1
54579, 0, 0, 0
54709, 4, 4, 458759
54709, 1, 32, 0
54709, 0, 0, 0
55115, 4, 4, 458759
55115, 1, 32, 1
55115, 0, 0, 0
55367, 1, 32, 2
55367, 0, 0, 1
55407, 1, 32, 2
55407, 0, 0, 1
55447, 1, 32, 2
55447, 0, 0, 1
55487, 1, 32, 2
55487, 0, 0, 1
55527, 1, 32, 2
55527, 0, 0, 1
55551, 4, 4, 458756
55551, 1, 30, 1
55551, 0, 0, 0
55591, 4, 4, 458759
55591, 1, 32, 0
55591, 0, 0, 0
56238, 4, 4, 458774
56238, 1, 31, 0
56238, 0, 0, 0
56363, 4, 4, 458778
56363, 1, 17, 1
56363, 0, 0, 0
56413, 4, 4, 458756
56413, 1, 30, 0
56413, 0, 0, 0
56639, 4, 4, 458759
56639, 1, 32, 1
56639, 0, 0, 0
56895, 1, 32, 2
56895, 0, 0, 1
56935, 1, 32, 2
56935, 0, 0, 1
56975, 1, 32, 2
56975, 0, 0, 1
57004, 4, 4, 458759
57004, 1, 32, 0
57004, 0, 0, 0
57090, 4, 4, 458756
57090, 1, 30, 1
57090, 0, 0, 0
57343, 1, 30, 2
57343, 0, 0, 1
57387, 1, 30, 2
57387, 0, 0, 1
57427, 1, 30, 2
57427, 0, 0, 1
57467, 1, 30, 2
57467, 0, 0, 1
57511, 1, 30, 2
57511, 0, 0, 1
57551, 1, 30, 2
57551, 0, 0, 1
57595, 1, 30, 2
57595, 0, 0, 1
57635, 1, 30, 2
57635, 0, 0, 1
57675, 1, 30, 2
57675, 0, 0, 1
57715, 1, 30, 2
57715, 0, 0, 1
57755, 1, 30, 2
57755, 0, 0, 1
57795, 1, 30, 2
57795, 0, 0, 1
57816, 4, 4, 458778
57816, 1, 17, 0
57816, 0, 0, 0
58503, 4, 4, 458774
58503, 1, 31, 1
58503, 0, 0, 0
58755, 1, 31, 2
58755, 0, 0, 1
58795, 1, 31, 2
58795, 0, 0, 1
58835, 1, 31, 2
58835, 0, 0, 1
58879, 1, 31, 2
58879, 0, 0, 1
58919, 4, 4, 458774
58919, 1, 31, 0
58919, 0, 0, 0
59325, 4, 4, 458774
59325, 1, 31, 1
59325, 0, 0, 0
59579, 1, 31, 2
59579, 0, 0, 1
59623, 1, 31, 2
59623, 0, 0, 1
59663, 1, 31, 2
59663, 0, 0, 1
59703, 1, 31, 2
59703, 0, 0, 1
59747, 1, 31, 2
59747, 0, 0, 1
59791, 1, 31, 2
59791, 0, 0, 1
59831, 1, 31, 2
59831, 0, 0, 1
59871, 1, 31, 2
59871, 0, 0, 1
59911, 1, 31, 2
59911, 0, 0, 1
59951, 1, 31, 2
59951, 0, 0, 1
59971, 4, 4, 458774
59971, 1, 31, 0
59971, 0, 0, 0
60087, 4, 4, 458756
60087, 1, 30, 0
60087, 0, 0, 0
64116, 4, 4, 458756
64116, 1, 30, 1
64116, 0, 0, 0
64371, 1, 30, 2
64371, 0, 0, 1
64411, 1, 30, 2
64411, 0, 0, 1
64451, 1, 30, 2
64451, 0, 0, 1
64495, 1, 30, 2
64495, 0, 0, 1
64539, 1, 30, 2
64539, 0, 0, 1
64579, 1, 30, 2
64579, 0, 0, 1
64619, 1, 30, 2
64619, 0, 0, 1
64663, 1, 30, 2
64663, 0, 0, 1
64703, 1, 30, 2
64703, 0, 0, 1
64743, 1, 30, 2
64743, 0, 0, 1
64787, 1, 30, 2
64787, 0, 0, 1
64818, 4, 4, 458778
64818, 1, 17, 1
64818, 0, 0, 0
65087, 1, 17, 2
65087, 0, 0, 1
65127, 1, 17, 2
65127, 0, 0, 1
65167, 1, 17, 2
65167, 0, 0, 1
65211, 1, 17, 2
65211, 0, 0, 1
65255, 1, 17, 2
65255, 0, 0, 1
65295, 1, 17, 2
65295, 0, 0, 1
65335, 1, 17, 2
65335, 0, 0, 1
65379, 1, 17, 2
65379, 0, 0, 1
65414, 4, 4, 458778
65414, 1, 17, 0
65414, 0, 0, 0
65911, 4, 4, 458774
65911, 1, 31, 1
65911, 0, 0, 0
65966, 4, 4, 458756
65966, 1, 30, 0
65966, 0, 0, 0
66362, 4, 4, 458774
66362, 1, 31, 0
66362, 0, 0, 0
